symbol,prototype,gate,leverage_mode,stress_case,trade_id,event_id,entry_time,exit_time,entry_price,exit_price,min_trade_price,liquidation_price,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,reason
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,1,ETHUSDT_2024-01-01T15:30:00+00:00,2024-01-01 15:31:00+00:00,2024-01-02 14:45:00+00:00,2309.4618,2368.67617,2307.79,1859.1167490000003,5.0,123.1354011029759,0.12313540110297591,1000.0,1123.135401102976,False,,all_raise_conditions_met|g4_adaptive_cap_50pct
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,2,ETHUSDT_2024-01-08T17:45:00+00:00,2024-01-08 17:46:00+00:00,2024-01-09 00:15:00+00:00,2280.7460579999997,2321.23566,2278.09,1836.00057669,5.0,94.0284012351294,0.0837195596744513,1123.135401102976,1217.1638023381054,False,,all_raise_conditions_met|g4_adaptive_cap_50pct
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,3,ETHUSDT_2024-01-10T00:15:00+00:00,2024-01-10 00:16:00+00:00,2024-01-11 16:00:00+00:00,2369.483802,2582.423412,2336.28,1591.5032870100003,3.0,324.334875030242,0.2664677296574318,1217.1638023381054,1541.4986773683474,False,,atr_pct_rank_gt_80pct|path_gate_not_high_risk
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,4,ETHUSDT_2024-01-12T11:15:00+00:00,2024-01-12 11:16:00+00:00,2024-01-12 16:45:00+00:00,2625.0749100000003,2621.495596,2619.96,1981.9315570500003,4.0,-14.569182019640731,-0.009451310100708809,1541.4986773683474,1526.9294953487067,False,,default_4x|g4_adaptive_cap_50pct
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,5,ETHUSDT_2024-01-16T15:15:00+00:00,2024-01-16 15:16:00+00:00,2024-01-17 03:45:00+00:00,2533.046508,2571.08568,2532.39,1912.4501135399998,4.0,85.56701748870542,0.05603861720489221,1526.9294953487067,1612.4965128374122,False,,default_4x|path_gate_not_high_risk
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,6,ETHUSDT_2024-01-28T01:15:00+00:00,2024-01-28 01:16:00+00:00,2024-01-28 12:00:00+00:00,2273.744658,2274.125084,2272.68,2057.73891549,10.0,-13.428405167536905,-0.008327711136508292,1612.4965128374122,1599.0681076698752,False,,all_raise_conditions_met|path_gate_not_high_risk
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,7,ETHUSDT_2024-02-06T16:15:00+00:00,2024-02-06 16:16:00+00:00,2024-02-07 03:15:00+00:00,2342.088324,2367.836338,2340.74,2119.5899332199997,10.0,159.7167898479811,0.09988116771381093,1599.0681076698752,1758.7848975178563,False,,all_raise_conditions_met|path_gate_not_high_risk
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,8,ETHUSDT_2024-02-08T15:15:00+00:00,2024-02-08 15:16:00+00:00,2024-02-08 23:15:00+00:00,2434.626828,2417.46641,2412.0,2203.33727934,10.0,-141.49346327528815,-0.08044955552835115,1758.7848975178563,1617.2914342425681,False,,all_raise_conditions_met|path_gate_not_high_risk
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,9,ETHUSDT_2024-02-09T08:45:00+00:00,2024-02-09 08:46:00+00:00,2024-02-10 07:45:00+00:00,2464.7128439999997,2493.561188,2461.1,1860.8581972199997,4.0,69.21162063452653,0.04279477351398986,1617.2914342425681,1686.5030548770947,False,,default_4x|g4_adaptive_cap_50pct
ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,10,ETHUSDT_2024-02-11T03:45:00+00:00,2024-02-11 03:46:00+00:00,2024-02-11 10:15:00+00:00,2519.5038,2516.736552,2513.5,2280.150939,10.0,-35.37914717562388,-0.020977813869540937,1686.5030548770947,1651.1239077014707,False,,all_raise_conditions_met|path_gate_not_high_risk
