symbol,prototype,gate,leverage_mode,stress_case,trade_id,event_id,entry_time,exit_time,entry_price,exit_price,min_trade_price,liquidation_price,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,reason
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,1,BTCUSDT_2024-01-01T18:00:00+00:00,2024-01-01 18:01:00+00:00,2024-01-03 07:45:00+00:00,42883.575,45021.39392,42861.8,34521.277875,5.0,244.13384792895712,0.24413384792895712,1000.0,1244.133847928957,False,,all_raise_conditions_met|g4_adaptive_cap_50pct
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,2,BTCUSDT_2024-01-08T11:45:00+00:00,2024-01-08 11:46:00+00:00,2024-01-09 08:45:00+00:00,44293.957019999994,46542.88956,44272.1,33441.937550099996,4.0,247.57024943608891,0.1989900442369652,1244.133847928957,1491.704097365046,False,,default_4x|g4_adaptive_cap_50pct
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,3,BTCUSDT_2024-01-09T21:00:00+00:00,2024-01-09 21:01:00+00:00,2024-01-09 21:15:00+00:00,46700.03814,45890.3201,46246.0,31366.858950700003,3.0,-82.02895397206714,-0.05499009764534637,1491.704097365046,1409.675143392979,False,,atr_pct_rank_gt_80pct|path_gate_not_high_risk
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,4,BTCUSDT_2024-01-11T14:00:00+00:00,2024-01-11 14:01:00+00:00,2024-01-11 16:00:00+00:00,47330.064119999995,46099.07834000001,46488.1,31790.0264006,3.0,-114.16479943488784,-0.080986601750033,1409.675143392979,1295.5103439580912,False,,atr_pct_rank_gt_80pct|g4_adaptive_cap_50pct
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,5,BTCUSDT_2024-01-26T10:30:00+00:00,2024-01-26 10:31:00+00:00,2024-01-26 23:45:00+00:00,40327.0638,41798.03872,40281.200000000004,20365.167219000003,2.0,91.8721121797257,0.07091576891546433,1295.5103439580912,1387.382456137817,False,,drawdown_gt_10pct|path_gate_not_high_risk
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,6,BTCUSDT_2024-01-28T04:45:00+00:00,2024-01-28 04:46:00+00:00,2024-01-28 15:30:00+00:00,42504.29916,42192.15988,42220.1,32090.745865800003,4.0,-46.283294758180375,-0.03336015570430623,1387.382456137817,1341.0991613796366,False,,default_4x|path_gate_not_high_risk
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,7,BTCUSDT_2024-01-29T15:45:00+00:00,2024-01-29 15:46:00+00:00,2024-01-30 06:30:00+00:00,42117.82188,43290.44018,42109.3,21269.5000494,2.0,71.9565674005661,0.053654919392046904,1341.0991613796366,1413.0557287802028,False,,drawdown_gt_10pct|path_gate_not_high_risk
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,8,BTCUSDT_2024-02-07T17:15:00+00:00,2024-02-07 17:16:00+00:00,2024-02-08 06:45:00+00:00,43277.55378,44441.01002,43264.4,32674.5531039,4.0,146.223874261508,0.10348061388048252,1413.0557287802028,1559.2796030417107,False,,default_4x|path_gate_not_high_risk
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,9,BTCUSDT_2024-02-09T02:45:00+00:00,2024-02-09 02:46:00+00:00,2024-02-09 22:30:00+00:00,46095.7173,47209.35624,45830.1,41716.624156499995,10.0,360.9294382928246,0.23147191663942374,1559.2796030417107,1920.2090413345354,False,,all_raise_conditions_met|path_gate_not_high_risk
BTCUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1,base,10,BTCUSDT_2024-02-10T20:30:00+00:00,2024-02-10 20:31:00+00:00,2024-02-13 03:30:00+00:00,47591.21634,49790.339940000005,47539.4,43070.0507877,10.0,867.6560224512476,0.451854982334752,1920.2090413345354,2787.865063785783,False,,all_raise_conditions_met|path_gate_not_high_risk
