symbol,prototype,leverage_mode,stress_case,trade_id,event_id,entry_time,exit_time,entry_price,exit_price,min_trade_price,liquidation_price,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,reason
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,1,BTCUSDT_2024-01-01T18:00:00+00:00,2024-01-01 18:01:00+00:00,2024-01-03 07:45:00+00:00,42883.575,45021.39392,42861.8,38809.635375,10.0,488.26769585791425,0.48826769585791424,1000.0,1488.2676958579143,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,2,BTCUSDT_2024-01-08T11:45:00+00:00,2024-01-08 11:46:00+00:00,2024-01-09 08:45:00+00:00,44293.957019999994,46542.88956,44272.1,40086.031103099995,10.0,740.3761365880317,0.4974751105924131,1488.2676958579143,2228.643832445946,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,3,BTCUSDT_2024-01-09T21:00:00+00:00,2024-01-09 21:01:00+00:00,2024-01-09 21:15:00+00:00,46700.03814,45890.3201,46246.0,42263.5345167,10.0,-408.51113987633835,-0.18330032548448788,2228.643832445946,1820.1326925696076,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,4,BTCUSDT_2024-01-11T14:00:00+00:00,2024-01-11 14:01:00+00:00,2024-01-11 16:00:00+00:00,47330.064119999995,46099.07834000001,46488.1,42833.7080286,10.0,-491.3545383511668,-0.26995533916677666,1820.1326925696076,1328.7781542184407,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,5,BTCUSDT_2024-01-26T10:30:00+00:00,2024-01-26 10:31:00+00:00,2024-01-26 23:45:00+00:00,40327.0638,41798.03872,40281.200000000004,36495.992739,10.0,471.1566226223607,0.3545788445773216,1328.7781542184407,1799.9347768408015,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,6,BTCUSDT_2024-01-28T04:45:00+00:00,2024-01-28 04:46:00+00:00,2024-01-28 15:30:00+00:00,42504.29916,42192.15988,42220.1,38466.3907398,10.0,-150.11526103251202,-0.08340038926076555,1799.9347768408015,1649.8195158082895,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,7,BTCUSDT_2024-01-29T15:45:00+00:00,2024-01-29 15:46:00+00:00,2024-01-30 06:30:00+00:00,42117.82188,43290.44018,42109.3,38116.6288014,10.0,442.60466566059796,0.2682745969602344,1649.8195158082895,2092.4241814688876,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,8,BTCUSDT_2024-02-07T17:15:00+00:00,2024-02-07 17:16:00+00:00,2024-02-08 06:45:00+00:00,43277.55378,44441.01002,43264.4,39166.1861709,10.0,541.3133469919167,0.2587015347012063,2092.4241814688876,2633.7375284608042,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,9,BTCUSDT_2024-02-09T02:45:00+00:00,2024-02-09 02:46:00+00:00,2024-02-09 22:30:00+00:00,46095.7173,47209.35624,45830.1,41716.624156499995,10.0,609.6362736380013,0.23147191663942376,2633.7375284608042,3243.3738020988058,False,,fixed_10x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_10x,base,10,BTCUSDT_2024-02-10T20:30:00+00:00,2024-02-10 20:31:00+00:00,2024-02-13 03:30:00+00:00,47591.21634,49790.339940000005,47539.4,43070.0507877,10.0,1465.5346120523534,0.451854982334752,3243.3738020988058,4708.908414151159,False,,fixed_10x
